matched_strip_group,matched_location,suggested_event_id,start_timestamp,end_timestamp,duration_hours,start_reading_x100,end_reading_x100,computed_gallons,reported_gallons,gallons_difference,gallons_ratio,time_diff_hours,matched_irrigation_start,matched_irrigation_end,start_time_diff_hours,end_time_diff_hours,start_photo,end_photo,start_filename,end_filename,start_timestamp_source,end_timestamp_source,review_status,notes,photo_timestamp,photo_meter_reading_x100,photo_filename,photo_path,photo_timestamp_source,photo_file_type
S3_S4,east,known_event_013,,,,,,,36600.0,,,,2023-08-05T08:51,2023-08-05T11:03,,,,,,,,,no_photo_pair_found,No valid start/end photo pair found within search windows.,,,,,,
S3_S4,east,known_event_014,,,,,,,105700.0,,,,2023-08-10T13:57,2023-08-10T19:37,,,,,,,,,no_photo_pair_found,No valid start/end photo pair found within search windows.,,,,,,
S1_S2,west,known_event_015,,,,,,,60250.0,,,,2023-08-24T13:47,2023-08-24T18:16,,,,,,,,,no_photo_pair_found,No valid start/end photo pair found within search windows.,,,,,,
S3_S4,east,known_event_016,,,,,,,60250.0,,,,2023-08-24T13:47,2023-08-24T18:16,,,,,,,,,no_photo_pair_found,No valid start/end photo pair found within search windows.,,,,,,
S3_S4,east,known_event_017,,,,,,,157700.0,,,,2023-09-07T07:38,2023-09-07T18:19,,,,,,,,,no_photo_pair_found,No valid start/end photo pair found within search windows.,,,,,,
S1_S2,west,known_event_018,,,,,,,75300.0,,,,2023-09-21T09:07,2023-09-21T16:09,,,,,,,,,no_photo_pair_found,No valid start/end photo pair found within search windows.,,,,,,
S3_S4,east,known_event_019,,,,,,,144600.0,,,,2023-09-22T07:20,2023-09-22T16:18,,,,,,,,,no_photo_pair_found,No valid start/end photo pair found within search windows.,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,unmatched_photo,,2023-05-23T15:26,160581,IMG_7488.JPEG,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/photos/irrigation/photos_2023/IMG_7488.JPEG,DateTime,image
,,,,,,,,,,,,,,,,,,,,,,,unmatched_photo,,2023-05-23T17:15,161264,IMG_7512.JPEG,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/photos/irrigation/photos_2023/IMG_7512.JPEG,DateTime,image
,,,,,,,,,,,,,,,,,,,,,,,unmatched_photo,,2023-05-23T19:19,162023,IMG_7515.JPEG,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/photos/irrigation/photos_2023/IMG_7515.JPEG,DateTime,image
,,,,,,,,,,,,,,,,,,,,,,,unmatched_photo,,2023-05-24T09:25,162026,IMG_7527.JPEG,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/photos/irrigation/photos_2023/IMG_7527.JPEG,DateTime,image
,,,,,,,,,,,,,,,,,,,,,,,unmatched_photo,,2023-05-24T09:25,162029,IMG_7529.JPEG,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/photos/irrigation/photos_2023/IMG_7529.JPEG,DateTime,image
,,,,,,,,,,,,,,,,,,,,,,,unmatched_photo,,2023-06-01T11:20,163501,IMG_7562.JPEG,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/photos/irrigation/photos_2023/IMG_7562.JPEG,DateTime,image
,,,,,,,,,,,,,,,,,,,,,,,unmatched_photo,,2023-06-01T14:07,163572,IMG_7563.JPEG,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/photos/irrigation/photos_2023/IMG_7563.JPEG,DateTime,image
,,,,,,,,,,,,,,,,,,,,,,,unmatched_photo,,2023-06-01T15:07,163572,IMG_7571.JPEG,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/photos/irrigation/photos_2023/IMG_7571.JPEG,DateTime,image
,,,,,,,,,,,,,,,,,,,,,,,unmatched_photo,,2023-06-01T15:47,163675,IMG_7574.JPEG,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/photos/irrigation/photos_2023/IMG_7574.JPEG,DateTime,image
,,,,,,,,,,,,,,,,,,,,,,,unmatched_photo,,2023-06-01T15:50,163680,IMG_7575.JPEG,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/photos/irrigation/photos_2023/IMG_7575.JPEG,DateTime,image
,,,,,,,,,,,,,,,,,,,,,,,unmatched_photo,,2023-06-02T15:45,164174,IMG_7597.JPEG,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/photos/irrigation/photos_2023/IMG_7597.JPEG,DateTime,image
,,,,,,,,,,,,,,,,,,,,,,,unmatched_photo,,2023-06-02T15:54,164198,IMG_7599.JPEG,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/photos/irrigation/photos_2023/IMG_7599.JPEG,DateTime,image
,,,,,,,,,,,,,,,,,,,,,,,unmatched_photo,,2023-06-02T19:49,164776,IMG_7602.JPEG,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/photos/irrigation/photos_2023/IMG_7602.JPEG,DateTime,image
,,,,,,,,,,,,,,,,,,,,,,,unmatched_photo,,2023-06-02T20:13,164834,IMG_7610.JPEG,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/photos/irrigation/photos_2023/IMG_7610.JPEG,DateTime,image
,,,,,,,,,,,,,,,,,,,,,,,unmatched_photo,,2023-06-14T17:29,166129,IMG_7702.JPEG,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/photos/irrigation/photos_2023/IMG_7702.JPEG,DateTime,image
,,,,,,,,,,,,,,,,,,,,,,,video_unmatched,video; possible mid-event/test; timestamp source: file_modified_time,2023-06-20T10:17,160574,IMG_7486.MP4,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/photos/irrigation/photos_2023/IMG_7486.MP4,file_modified_time,video
