flag_pre_start_response,flag_unexplained_pre_start_response,likely_precip_driven_pre_start_response,possible_battery_or_logger_issue,year,strip_group,location,strip,event_id,sensor_col,logger_position,depth_index,depth_inches,irrigation_start,irrigation_end,window_start,first_vwc,last_pre_start_vwc,max_pre_start_vwc,max_pre_start_time,pre_start_increase,last_minus_first,threshold,vwc_missing_fraction_pre_start_window,precip_col,precip_threshold_in,total_precip_in_pre_start_window,max_precip_in_pre_start_window,battery_col,flag_battery_low_pre_start,flag_battery_out_of_range_pre_start,flag_battery_low_event,flag_battery_out_of_range_event,bottom_response_delay_hr,time_to_peak_hours,time_to_plateau_hours,event_duration_hours,gallons_strip,first_precip_time_pre_start_window,last_precip_time_pre_start_window,battery_pre_start_min_v,battery_pre_start_median_v,battery_pre_start_max_v,battery_pre_start_low_count,battery_pre_start_high_count,battery_pre_start_out_of_range_count,battery_pre_start_out_of_range_fraction,battery_event_min_v,battery_event_median_v,battery_event_max_v,battery_event_low_count,battery_event_high_count,battery_event_out_of_range_count,battery_event_out_of_range_fraction
False,False,False,True,2023,S3_S4,east,S4,2023-08-24_S3_S4_a4b6ae2a,VWC_3_raw_S4_B,B,3,18,2023-08-24 13:47:00,2023-08-24 18:16:00,2023-08-24 07:47:00,19.168,18.884,19.175,2023-08-24 10:30:00,0.007,-0.284,0.5,0.375,precip_in,0.01,0.0,0.0,BattV_Min_S4_B,False,False,False,False,23.2167,23.2167,,4.4833,30125.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S1_S2,west,S1,2023-05-23_S1_S2_176caf9a,VWC_3_raw_S1_B,B,3,18,2023-05-23 15:25:00,2023-05-23 19:19:00,2023-05-23 09:25:00,7.785,4.195,7.923,2023-05-23 12:00:00,0.138,-3.59,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S1_B,False,False,False,False,23.8333,23.8333,25.0833,3.9,72500.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S1_S2,west,S1,2023-06-01_S1_S2_5b27ce31,VWC_1_raw_S1_B,B,1,6,2023-06-01 11:16:08,2023-06-01 18:45:00,2023-06-01 05:16:08,20.283,19.645,20.283,2023-06-01 05:30:00,0.0,-0.638,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S1_B,False,False,False,False,8.2311,8.2311,18.2311,7.4811,33650.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S1_S2,west,S1,2023-06-01_S1_S2_5b27ce31,VWC_2_raw_S1_B,B,2,12,2023-06-01 11:16:08,2023-06-01 18:45:00,2023-06-01 05:16:08,16.837,16.633,16.865,2023-06-01 06:15:00,0.028,-0.204,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S1_B,False,False,False,False,8.9811,8.9811,,7.4811,33650.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S1_S2,west,S1,2023-06-01_S1_S2_5b27ce31,VWC_3_raw_S1_B,B,3,18,2023-06-01 11:16:08,2023-06-01 18:45:00,2023-06-01 05:16:08,11.485,11.363,11.678,2023-06-01 07:30:00,0.193,-0.122,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S1_B,False,False,False,False,13.2311,13.2311,,7.4811,33650.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S1_S2,west,S1,2023-06-26_S1_S2_69e5d9b6,VWC_1_raw_S1_B,B,1,6,2023-06-26 09:31:00,2023-06-26 16:02:00,2023-06-26 03:31:00,19.097,18.055,19.128,2023-06-26 04:00:00,0.031,-1.042,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S1_B,False,False,False,False,9.2333,9.2333,9.4833,6.5167,44700.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S1_S2,west,S1,2023-06-26_S1_S2_69e5d9b6,VWC_2_raw_S1_B,B,2,12,2023-06-26 09:31:00,2023-06-26 16:02:00,2023-06-26 03:31:00,22.195,21.346,22.229,2023-06-26 04:00:00,0.034,-0.849,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S1_B,False,False,False,False,13.9833,13.9833,14.9833,6.5167,44700.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S1_S2,west,S1,2023-06-26_S1_S2_69e5d9b6,VWC_3_raw_S1_B,B,3,18,2023-06-26 09:31:00,2023-06-26 16:02:00,2023-06-26 03:31:00,19.217,18.674,19.222,2023-06-26 04:00:00,0.005,-0.543,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S1_B,False,False,False,False,0.2333,0.2333,,6.5167,44700.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S1_S2,west,S1,2023-07-17_S1_S2_ae0a89b4,VWC_1_raw_S1_B,B,1,6,2023-07-17 08:04:00,2023-07-17 16:04:00,2023-07-17 02:04:00,21.479,20.201,21.479,2023-07-17 02:15:00,0.0,-1.278,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S1_B,False,False,False,False,0.1833,0.1833,,8.0,60450.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S1_S2,west,S1,2023-07-17_S1_S2_ae0a89b4,VWC_2_raw_S1_B,B,2,12,2023-07-17 08:04:00,2023-07-17 16:04:00,2023-07-17 02:04:00,24.304,23.535,24.304,2023-07-17 02:15:00,0.0,-0.769,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S1_B,False,False,False,False,23.9333,23.9333,27.9333,8.0,60450.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S1_S2,west,S1,2023-07-17_S1_S2_ae0a89b4,VWC_3_raw_S1_B,B,3,18,2023-07-17 08:04:00,2023-07-17 16:04:00,2023-07-17 02:04:00,25.922,25.627,26.126,2023-07-17 04:00:00,0.204,-0.295,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S1_B,False,False,False,False,23.9333,23.9333,27.9333,8.0,60450.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S1_S2,west,S1,2023-08-05_S1_S2_efaa9d14,VWC_1_raw_S1_B,B,1,6,2023-08-05 08:48:00,2023-08-05 14:56:00,2023-08-05 02:48:00,25.146,23.809,25.146,2023-08-05 03:00:00,0.0,-1.337,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S1_B,False,False,False,False,11.95,11.95,,6.1333,49250.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S1_S2,west,S1,2023-08-05_S1_S2_efaa9d14,VWC_2_raw_S1_B,B,2,12,2023-08-05 08:48:00,2023-08-05 14:56:00,2023-08-05 02:48:00,33.105,32.147,33.105,2023-08-05 03:00:00,0.0,-0.958,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S1_B,False,False,False,False,22.95,22.95,24.45,6.1333,49250.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S1_S2,west,S1,2023-08-05_S1_S2_efaa9d14,VWC_3_raw_S1_B,B,3,18,2023-08-05 08:48:00,2023-08-05 14:56:00,2023-08-05 02:48:00,39.075,39.045,39.345,2023-08-05 05:15:00,0.27,-0.03,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S1_B,False,False,False,False,14.95,14.95,18.95,6.1333,49250.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S1_S2,west,S1,2023-08-24_S1_S2_6cc99259,VWC_1_raw_S1_B,B,1,6,2023-08-24 13:47:00,2023-08-24 18:16:00,2023-08-24 07:47:00,26.038,25.748,26.038,2023-08-24 08:00:00,0.0,-0.29,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S1_B,False,False,False,False,3.4667,3.4667,16.7167,4.4833,30125.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S1_S2,west,S1,2023-08-24_S1_S2_6cc99259,VWC_2_raw_S1_B,B,2,12,2023-08-24 13:47:00,2023-08-24 18:16:00,2023-08-24 07:47:00,33.895,33.405,33.895,2023-08-24 08:00:00,0.0,-0.49,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S1_B,False,False,False,False,7.4667,7.4667,,4.4833,30125.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S1_S2,west,S1,2023-08-24_S1_S2_6cc99259,VWC_3_raw_S1_B,B,3,18,2023-08-24 13:47:00,2023-08-24 18:16:00,2023-08-24 07:47:00,40.274,39.663,40.274,2023-08-24 08:00:00,0.0,-0.611,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S1_B,False,False,False,False,4.4667,4.4667,,4.4833,30125.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S1_S2,west,S1,2023-09-21_S1_S2_6dbb0789,VWC_1_raw_S1_B,B,1,6,2023-09-21 09:07:00,2023-09-21 16:09:00,2023-09-21 03:07:00,22.239,21.535,22.239,2023-09-21 03:15:00,0.0,-0.704,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S1_B,False,False,False,False,4.6333,4.6333,,7.0333,37650.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S1_S2,west,S1,2023-09-21_S1_S2_6dbb0789,VWC_2_raw_S1_B,B,2,12,2023-09-21 09:07:00,2023-09-21 16:09:00,2023-09-21 03:07:00,26.072,25.527,26.072,2023-09-21 03:15:00,0.0,-0.545,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S1_B,False,False,False,False,16.1333,16.1333,16.3833,7.0333,37650.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S1_S2,west,S1,2023-09-21_S1_S2_6dbb0789,VWC_3_raw_S1_B,B,3,18,2023-09-21 09:07:00,2023-09-21 16:09:00,2023-09-21 03:07:00,32.615,32.397,32.653,2023-09-21 04:30:00,0.038,-0.218,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S1_B,False,False,False,False,23.8833,23.8833,26.1333,7.0333,37650.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S1_S2,west,S2,2023-05-23_S1_S2_176caf9a,VWC_3_raw_S2_B,B,3,18,2023-05-23 15:25:00,2023-05-23 19:19:00,2023-05-23 09:25:00,6.154,6.201,6.201,2023-05-23 15:15:00,0.047,0.047,0.5,0.1667,precip_in,0.01,0.0,0.0,BattV_Min_S2_B,False,False,False,False,5.5833,5.5833,9.5833,3.9,72500.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S1_S2,west,S2,2023-06-01_S1_S2_5b27ce31,VWC_1_raw_S2_B,B,1,6,2023-06-01 11:16:08,2023-06-01 18:45:00,2023-06-01 05:16:08,24.505,24.286,24.518,2023-06-01 07:00:00,0.013,-0.219,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S2_B,False,False,False,False,8.7311,8.7311,14.9811,7.4811,33650.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S1_S2,west,S2,2023-06-01_S1_S2_5b27ce31,VWC_2_raw_S2_B,B,2,12,2023-06-01 11:16:08,2023-06-01 18:45:00,2023-06-01 05:16:08,26.103,25.937,26.129,2023-06-01 06:30:00,0.026,-0.166,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S2_B,False,False,False,False,8.9811,8.9811,13.7311,7.4811,33650.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S1_S2,west,S2,2023-06-01_S1_S2_5b27ce31,VWC_3_raw_S2_B,B,3,18,2023-06-01 11:16:08,2023-06-01 18:45:00,2023-06-01 05:16:08,25.945,25.793,25.96,2023-06-01 06:30:00,0.015,-0.152,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S2_B,False,False,False,False,8.7311,8.7311,12.7311,7.4811,33650.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S1_S2,west,S2,2023-06-26_S1_S2_69e5d9b6,VWC_1_raw_S2_B,B,1,6,2023-06-26 09:31:00,2023-06-26 16:02:00,2023-06-26 03:31:00,8.894,8.559,8.894,2023-06-26 03:45:00,0.0,-0.335,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S2_B,False,False,False,False,7.9833,7.9833,22.2333,6.5167,44700.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S1_S2,west,S2,2023-06-26_S1_S2_69e5d9b6,VWC_2_raw_S2_B,B,2,12,2023-06-26 09:31:00,2023-06-26 16:02:00,2023-06-26 03:31:00,7.267,7.133,7.291,2023-06-26 04:30:00,0.024,-0.134,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S2_B,False,False,False,False,7.4833,7.4833,17.2333,6.5167,44700.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S1_S2,west,S2,2023-06-26_S1_S2_69e5d9b6,VWC_3_raw_S2_B,B,3,18,2023-06-26 09:31:00,2023-06-26 16:02:00,2023-06-26 03:31:00,10.075,9.919,10.089,2023-06-26 05:30:00,0.014,-0.156,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S2_B,False,False,False,False,7.9833,7.9833,11.9833,6.5167,44700.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S1_S2,west,S2,2023-07-17_S1_S2_ae0a89b4,VWC_1_raw_S2_B,B,1,6,2023-07-17 08:04:00,2023-07-17 16:04:00,2023-07-17 02:04:00,8.84,8.493,8.84,2023-07-17 02:15:00,0.0,-0.347,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S2_B,False,False,False,False,8.4333,8.4333,12.4333,8.0,60450.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S1_S2,west,S2,2023-07-17_S1_S2_ae0a89b4,VWC_2_raw_S2_B,B,2,12,2023-07-17 08:04:00,2023-07-17 16:04:00,2023-07-17 02:04:00,7.063,6.891,7.067,2023-07-17 02:30:00,0.004,-0.172,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S2_B,False,False,False,False,8.4333,8.4333,8.6833,8.0,60450.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S1_S2,west,S2,2023-07-17_S1_S2_ae0a89b4,VWC_3_raw_S2_B,B,3,18,2023-07-17 08:04:00,2023-07-17 16:04:00,2023-07-17 02:04:00,7.269,7.213,7.274,2023-07-17 06:45:00,0.005,-0.056,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S2_B,False,False,False,False,9.4333,9.4333,13.4333,8.0,60450.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S1_S2,west,S2,2023-08-05_S1_S2_efaa9d14,VWC_1_raw_S2_B,B,1,6,2023-08-05 08:48:00,2023-08-05 14:56:00,2023-08-05 02:48:00,9.866,9.572,9.872,2023-08-05 03:15:00,0.006,-0.294,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S2_B,False,False,False,False,7.45,7.45,20.95,6.1333,49250.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S1_S2,west,S2,2023-08-05_S1_S2_efaa9d14,VWC_2_raw_S2_B,B,2,12,2023-08-05 08:48:00,2023-08-05 14:56:00,2023-08-05 02:48:00,9.014,8.914,9.033,2023-08-05 03:45:00,0.019,-0.1,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S2_B,False,False,False,False,7.7,7.7,17.45,6.1333,49250.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S1_S2,west,S2,2023-08-05_S1_S2_efaa9d14,VWC_3_raw_S2_B,B,3,18,2023-08-05 08:48:00,2023-08-05 14:56:00,2023-08-05 02:48:00,18.145,18.239,18.239,2023-08-05 08:45:00,0.094,0.094,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S2_B,False,False,False,False,7.7,7.7,11.7,6.1333,49250.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S1_S2,west,S2,2023-08-24_S1_S2_6cc99259,VWC_1_raw_S2_B,B,1,6,2023-08-24 13:47:00,2023-08-24 18:16:00,2023-08-24 07:47:00,9.201,9.211,9.215,2023-08-24 09:15:00,0.014,0.01,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S2_B,False,False,False,False,5.7167,5.7167,17.2167,4.4833,30125.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S1_S2,west,S2,2023-08-24_S1_S2_6cc99259,VWC_2_raw_S2_B,B,2,12,2023-08-24 13:47:00,2023-08-24 18:16:00,2023-08-24 07:47:00,8.283,8.241,8.292,2023-08-24 09:15:00,0.009,-0.042,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S2_B,False,False,False,False,5.9667,5.9667,15.9667,4.4833,30125.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S1_S2,west,S2,2023-08-24_S1_S2_6cc99259,VWC_3_raw_S2_B,B,3,18,2023-08-24 13:47:00,2023-08-24 18:16:00,2023-08-24 07:47:00,18.764,18.626,18.779,2023-08-24 11:30:00,0.015,-0.138,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S2_B,False,False,False,False,5.9667,5.9667,9.9667,4.4833,30125.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S1_S2,west,S2,2023-09-21_S1_S2_6dbb0789,VWC_1_raw_S2_B,B,1,6,2023-09-21 09:07:00,2023-09-21 16:09:00,2023-09-21 03:07:00,8.469,8.315,8.473,2023-09-21 03:30:00,0.004,-0.154,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S2_B,False,False,False,False,8.3833,8.3833,22.1333,7.0333,37650.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S1_S2,west,S2,2023-09-21_S1_S2_6dbb0789,VWC_2_raw_S2_B,B,2,12,2023-09-21 09:07:00,2023-09-21 16:09:00,2023-09-21 03:07:00,7.074,6.986,7.078,2023-09-21 03:30:00,0.004,-0.088,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S2_B,False,False,False,False,8.3833,8.3833,20.8833,7.0333,37650.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S1_S2,west,S2,2023-09-21_S1_S2_6dbb0789,VWC_3_raw_S2_B,B,3,18,2023-09-21 09:07:00,2023-09-21 16:09:00,2023-09-21 03:07:00,7.822,7.761,7.835,2023-09-21 08:00:00,0.013,-0.061,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S2_B,False,False,False,False,8.3833,8.3833,12.3833,7.0333,37650.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S3_S4,east,S3,2023-05-24_S3_S4_31cada45,VWC_1_raw_S3_B,B,1,6,2023-05-24 09:25:00,2023-05-24 13:19:00,2023-05-24 03:25:00,6.545,6.27,6.545,2023-05-24 03:30:00,0.0,-0.275,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S3_B,False,False,False,False,15.3333,15.3333,15.5833,3.9,73300.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S3_S4,east,S3,2023-05-24_S3_S4_31cada45,VWC_2_raw_S3_B,B,2,12,2023-05-24 09:25:00,2023-05-24 13:19:00,2023-05-24 03:25:00,7.02,6.855,7.028,2023-05-24 04:30:00,0.008,-0.165,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S3_B,False,False,False,False,23.8333,23.8333,24.0833,3.9,73300.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S3_S4,east,S3,2023-05-24_S3_S4_31cada45,VWC_3_raw_S3_B,B,3,18,2023-05-24 09:25:00,2023-05-24 13:19:00,2023-05-24 03:25:00,4.839,4.836,4.841,2023-05-24 06:00:00,0.002,-0.003,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S3_B,False,False,False,False,8.8333,8.8333,9.0833,3.9,73300.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S3_S4,east,S3,2023-06-02_S3_S4_e824e1bc,VWC_1_raw_S3_B,B,1,6,2023-06-02 15:43:00,2023-06-02 22:12:00,2023-06-02 09:43:00,20.179,20.241,20.267,2023-06-02 15:00:00,0.088,0.062,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S3_B,False,False,False,False,5.0333,5.0333,11.2833,6.4833,33750.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S3_S4,east,S3,2023-06-02_S3_S4_e824e1bc,VWC_2_raw_S3_B,B,2,12,2023-06-02 15:43:00,2023-06-02 22:12:00,2023-06-02 09:43:00,16.919,16.88,16.938,2023-06-02 10:45:00,0.019,-0.039,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S3_B,False,False,False,False,7.0333,7.0333,9.5333,6.4833,33750.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S3_S4,east,S3,2023-06-02_S3_S4_e824e1bc,VWC_3_raw_S3_B,B,3,18,2023-06-02 15:43:00,2023-06-02 22:12:00,2023-06-02 09:43:00,10.311,10.269,10.33,2023-06-02 12:00:00,0.019,-0.042,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S3_B,False,False,False,False,5.2833,5.2833,18.7833,6.4833,33750.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S3_S4,east,S3,2023-06-14_S3_S4_71ac748b,VWC_1_raw_S3_B,B,1,6,2023-06-14 08:25:00,2023-06-14 17:29:00,2023-06-14 02:25:00,17.113,16.72,17.113,2023-06-14 02:30:00,0.0,-0.393,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S3_B,False,False,False,False,8.5833,8.5833,8.8333,9.0667,64100.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S3_S4,east,S3,2023-06-14_S3_S4_71ac748b,VWC_2_raw_S3_B,B,2,12,2023-06-14 08:25:00,2023-06-14 17:29:00,2023-06-14 02:25:00,19.853,19.711,19.867,2023-06-14 03:00:00,0.014,-0.142,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S3_B,False,False,False,False,9.5833,9.5833,15.3333,9.0667,64100.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S3_S4,east,S3,2023-06-14_S3_S4_71ac748b,VWC_3_raw_S3_B,B,3,18,2023-06-14 08:25:00,2023-06-14 17:29:00,2023-06-14 02:25:00,12.967,12.843,12.971,2023-06-14 03:30:00,0.004,-0.124,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S3_B,False,False,False,False,9.5833,9.5833,13.5833,9.0667,64100.0,,,,,,,,,,,,,,,,
False,False,False,False,2023,S3_S4,east,S3,2023-06-27_S3_S4_87f629e2,VWC_1_raw_S3_B,B,1,6,2023-06-27 07:53:00,2023-06-27 16:14:00,2023-06-27 01:53:00,12.256,11.958,12.261,2023-06-27 02:30:00,0.005,-0.298,0.5,0.0,precip_in,0.01,0.0,0.0,BattV_Min_S3_B,False,False,False,False,8.6167,8.6167,19.8667,8.35,67850.0,,,,,,,,,,,,,,,,
